f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	pred	pred	SVM(minus)	SVM(plus)	Random Forest(minus)	Random Forest(plus)	kNN(minus)	kNN(plus)	SVM	Random Forest	kNN
-0.28	0.0963614	0.00542987	-0.408163	0.105985	0.00599631	-0.345679	0.0883771	0.00442335	-0.404959	0.077598	0.00369391	-0.43787	0.0789542	0.00370315	-0.466667	0.0796484	0.00366877	-0.49481	0.0798588	0.00333827	-0.531856	0.0829918	0.0036813	-0.560091	0.0898123	0.00413913	~	?	0.998	0.002	0.931	0.069	0.606	0.394	minus	minus	minus
-0.04	0.115176	0.00477134	-0.0612245	0.105896	0.00401687	-0.0864198	0.096111	0.00400278	-0.0743802	0.0910295	0.00364867	-0.100592	0.0834132	0.00329406	-0.0488889	0.0751285	0.00303876	-0.0103806	0.0703622	0.00295331	0.0387812	0.0657667	0.00288741	0.0453515	0.0627714	0.00269125	~	?	0.110	0.890	0.070	0.930	0.025	0.975	plus	plus	plus
-0.48	0.0719375	0.00120576	-0.510204	0.0740265	0.00189648	-0.54321	0.0742485	0.00191145	-0.603306	0.0746987	0.00165783	-0.621302	0.0812936	0.00184531	-0.604444	0.0829599	0.00184733	-0.615917	0.0833751	0.00196073	-0.603878	0.0838844	0.00200452	-0.573696	0.0820622	0.00205103	~	?	0.999	0.001	0.801	0.199	1.000	0.000	minus	minus	minus
0.2	0.0621124	0.00122373	0.102041	0.04888	0.000956634	0.234568	0.050978	0.0010851	0.371901	0.0409461	0.000909355	0.420118	0.0389621	0.000899366	0.404444	0.0411577	0.000858706	0.33564	0.0418306	0.00081709	0.252078	0.0433461	0.000768331	0.165533	0.0436963	0.000816238	~	?	0.042	0.958	0.014	0.986	0.000	1.000	plus	plus	plus
-0.24	0.129757	0.0147237	-0.306122	0.102861	0.0113759	-0.333333	0.0869842	0.0088412	-0.347107	0.0847217	0.00862181	-0.295858	0.0794776	0.00774602	-0.244444	0.0747437	0.00724369	-0.231834	0.0737309	0.00819875	-0.210526	0.0699484	0.00835954	-0.172336	0.0695637	0.00855975	~	?	0.932	0.068	1.000	0.000	0.975	0.025	minus	minus	minus
0	0.0279708	0.000146425	0	0.0293338	0.000148657	0	0.0272075	0.000175336	-0.00826446	0.0349617	0.000766619	-0.0532544	0.0494021	0.00196592	-0.115556	0.0583544	0.00324559	-0.155709	0.0627321	0.00360331	-0.180055	0.0608679	0.0030063	-0.192744	0.0577749	0.00271052	~	?	0.985	0.015	0.979	0.021	1.000	0.000	minus	minus	minus
-1	0.0801039	0.000500052	-1	0.0645059	0.000844663	-1	0.0586391	0.000791317	-1	0.0523372	0.000791391	-1	0.0508497	0.000846751	-0.964444	0.0522406	0.00100111	-0.923875	0.0561062	0.00121177	-0.880886	0.0566411	0.00123088	-0.848073	0.0560352	0.00121037	~	?	0.998	0.002	0.928	0.072	1.000	0.000	minus	minus	minus
-0.28	0.0671856	0.00066933	-0.22449	0.0592066	0.00116259	-0.259259	0.0706024	0.0010927	-0.322314	0.0748171	0.00109322	-0.278107	0.0675451	0.00112888	-0.244444	0.0599802	0.00100548	-0.259516	0.0559414	0.000941205	-0.257618	0.0551878	0.000966784	-0.24263	0.0545742	0.000905383	~	?	0.026	0.974	0.107	0.893	0.489	0.511	plus	plus	plus
-1	0.0864002	0.00215498	-1	0.0878213	0.0018124	-1	0.0887948	0.00211186	-0.983471	0.0868872	0.00171837	-0.940828	0.0862302	0.00191039	-0.888889	0.0922052	0.0024379	-0.865052	0.0974865	0.0029955	-0.817174	0.104078	0.00345145	-0.739229	0.109334	0.004521	~	?	0.790	0.210	0.929	0.071	0.570	0.430	minus	minus	minus
-0.48	0.127792	0.00226688	-0.673469	0.108765	0.00313644	-0.753086	0.0943513	0.00256034	-0.818182	0.0918509	0.0026034	-0.83432	0.091396	0.00243344	-0.84	0.0866218	0.00245102	-0.820069	0.0821365	0.00247087	-0.783934	0.083674	0.00287974	-0.734694	0.0870794	0.00358972	~	?	0.815	0.185	0.764	0.236	1.000	0.000	minus	minus	minus
-1	0.0399192	0.000405422	-1	0.0430841	0.000470796	-0.987654	0.0434165	0.000444073	-0.975207	0.0451046	0.000552235	-0.95858	0.0534998	0.00161971	-0.902222	0.0571139	0.0019682	-0.868512	0.0601807	0.00185209	-0.858726	0.0610608	0.0019174	-0.848073	0.0620268	0.0020629	~	?	0.999	0.001	0.980	0.020	1.000	0.000	minus	minus	minus
-0.68	0.0912978	0.000441886	-0.612245	0.0930852	0.00127506	-0.530864	0.0898924	0.00194754	-0.553719	0.0846143	0.00228351	-0.568047	0.0809354	0.0025328	-0.542222	0.0796599	0.0026433	-0.50519	0.0771712	0.00280342	-0.462604	0.0739746	0.00292097	-0.453515	0.0742283	0.00306701	~	?	0.999	0.001	0.892	0.108	0.966	0.034	minus	minus	minus
0.04	0.0579409	0.000832119	-0.0204082	0.0558255	0.00121046	0.185185	0.0606068	0.00161183	0.289256	0.0522875	0.00114967	0.325444	0.0552705	0.00209643	0.324444	0.0608205	0.00421518	0.373702	0.0622774	0.00415122	0.404432	0.0609507	0.00367109	0.428571	0.0610922	0.00363886	~	?	0.043	0.957	0.008	0.992	0.000	1.000	plus	plus	plus
-0.28	0.122178	0.00344402	-0.387755	0.106341	0.00263227	-0.407407	0.0929734	0.00245012	-0.355372	0.0843388	0.00247538	-0.349112	0.079687	0.00264493	-0.368889	0.0739853	0.00227953	-0.349481	0.0709523	0.00207312	-0.33518	0.0685249	0.00192452	-0.342404	0.0663485	0.00173247	~	?	0.129	0.871	0.155	0.845	0.000	1.000	plus	plus	plus
-0.6	0.117588	0.00184506	-0.55102	0.0905652	0.0033113	-0.530864	0.0845536	0.00246655	-0.53719	0.0716492	0.002094	-0.544379	0.0676021	0.00179963	-0.56	0.0636008	0.00179759	-0.567474	0.0608996	0.00172009	-0.576177	0.0613605	0.00159946	-0.585034	0.0630273	0.00148004	~	?	0.884	0.116	0.630	0.370	0.800	0.200	minus	minus	minus
0.28	0.0507305	0.00064411	0.265306	0.0502057	0.000902396	0.358025	0.0517192	0.00115316	0.404959	0.0467997	0.00112943	0.420118	0.0485363	0.00138038	0.404444	0.0476603	0.00129258	0.397924	0.0452716	0.00127048	0.373961	0.0438717	0.00123812	0.342404	0.043548	0.00114299	~	?	0.034	0.966	0.004	0.996	0.000	1.000	plus	plus	plus
-1	0.109472	0.00231021	-1	0.0968066	0.00366995	-0.876543	0.0893527	0.00304642	-0.785124	0.0861586	0.003083	-0.704142	0.0827915	0.00279016	-0.671111	0.0778955	0.00252362	-0.66782	0.0762529	0.00242133	-0.67036	0.0727701	0.00243093	-0.68254	0.0731304	0.00229229	~	?	0.922	0.078	0.699	0.301	0.481	0.519	minus	minus	plus
-1	0.102511	0.00206682	-1	0.102636	0.00323103	-0.925926	0.0900796	0.00277057	-0.867769	0.0846047	0.00280165	-0.775148	0.0795543	0.0023646	-0.724444	0.0751645	0.0023756	-0.702422	0.0780258	0.00246676	-0.703601	0.0785477	0.00238258	-0.723356	0.0762903	0.00224914	~	?	0.971	0.029	0.724	0.276	0.559	0.441	minus	minus	minus
-1	0.0884263	0.00113181	-1	0.0844676	0.00129423	-1	0.0747728	0.00105523	-1	0.0692868	0.0011062	-1	0.0653469	0.0011114	-0.991111	0.0610408	0.00118163	-0.979239	0.0587802	0.00103929	-0.955679	0.0554005	0.00102357	-0.931973	0.0538218	0.00111846	~	?	0.098	0.902	0.702	0.298	0.022	0.978	plus	minus	plus
-0.88	0.0805975	0.000324702	-0.816327	0.0744494	0.000582517	-0.790123	0.072077	0.00106898	-0.793388	0.074705	0.00158149	-0.816568	0.0784397	0.00238734	-0.804444	0.0807185	0.00316742	-0.733564	0.0789412	0.00348359	-0.66205	0.0732766	0.00350791	-0.60771	0.0724349	0.00378305	~	?	1.000	0.000	0.953	0.047	1.000	0.000	minus	minus	minus
-0.2	0.0476551	0.000401136	0.102041	0.0489524	0.000605072	0.308642	0.0460139	0.000650244	0.438017	0.0421769	0.000723669	0.502959	0.0424489	0.000946853	0.528889	0.0413347	0.0011465	0.522491	0.0395758	0.00118306	0.529086	0.0391633	0.00123487	0.55102	0.0394477	0.00125225	~	?	0.038	0.962	0.004	0.996	0.000	1.000	plus	plus	plus
-0.56	0.104416	0.0032761	-0.571429	0.0812885	0.00229162	-0.604938	0.0822979	0.00227614	-0.652893	0.0843311	0.00226626	-0.639053	0.0863504	0.00197289	-0.586667	0.0845211	0.00197058	-0.543253	0.0816857	0.00212337	-0.520776	0.0778964	0.00214279	-0.512472	0.0750477	0.001991	~	?	0.969	0.031	0.607	0.393	0.817	0.183	minus	minus	minus
-1	0.0838828	0.00127177	-1	0.0745954	0.00190985	-0.975309	0.078285	0.00157927	-0.876033	0.0846663	0.00167904	-0.804734	0.0849158	0.00181248	-0.773333	0.0871443	0.00208452	-0.771626	0.0870379	0.00238169	-0.742382	0.0875242	0.00256951	-0.689342	0.0865966	0.00284877	~	?	0.944	0.056	0.696	0.304	0.884	0.116	minus	minus	minus
-0.96	0.10752	0.00289915	-0.959184	0.0993137	0.00313213	-0.950617	0.0961716	0.00257346	-0.950413	0.0954581	0.00236243	-0.91716	0.0964647	0.00367236	-0.893333	0.0942785	0.00367195	-0.868512	0.0903723	0.00347895	-0.839335	0.0884762	0.00339963	-0.816327	0.0891138	0.00313821	~	?	0.206	0.794	0.585	0.415	0.030	0.970	plus	minus	plus
-0.04	0.0500752	0.000371835	-0.0408163	0.0461166	0.000512895	-0.0246914	0.0422735	0.000893716	-0.0165289	0.0397308	0.000940523	-0.0118343	0.0454584	0.00163632	-0.0666667	0.0593923	0.00392835	-0.124567	0.0659963	0.00438021	-0.174515	0.0650448	0.00365088	-0.208617	0.061853	0.00328773	~	?	0.973	0.027	0.794	0.206	1.000	0.000	minus	minus	minus
-0.44	0.0598754	0.000778071	-0.306122	0.0668082	0.00145235	-0.111111	0.0783135	0.00207388	-0.00826446	0.0802176	0.00320142	0.118343	0.0793075	0.00380543	0.195556	0.0775989	0.00395374	0.252595	0.0779908	0.00419192	0.268698	0.0791799	0.00452927	0.269841	0.0781595	0.00452347	~	?	0.044	0.956	0.092	0.908	0.000	1.000	plus	plus	plus
-0.52	0.10617	0.0023956	-0.632653	0.108657	0.00376975	-0.679012	0.114275	0.00473387	-0.669421	0.095768	0.00433389	-0.662722	0.0847237	0.00411415	-0.675556	0.0766268	0.00386796	-0.695502	0.0714357	0.00363236	-0.722992	0.069832	0.00348831	-0.748299	0.0653578	0.00322285	~	?	0.107	0.893	0.393	0.607	0.470	0.530	plus	plus	plus
-1	0.0834519	0.000271535	-0.959184	0.0711563	0.000562877	-0.950617	0.0633201	0.00084789	-0.950413	0.0587136	0.000890922	-0.934911	0.0559429	0.00105608	-0.911111	0.0572831	0.00119303	-0.896194	0.0615464	0.00148631	-0.889197	0.0657632	0.00174074	-0.861678	0.0659676	0.0018485	~	?	0.999	0.001	0.961	0.039	1.000	0.000	minus	minus	minus
-1	0.0896632	0.00159157	-0.795918	0.0877529	0.00148977	-0.592593	0.0774596	0.00208114	-0.487603	0.0658544	0.00207186	-0.443787	0.0595287	0.00213479	-0.444444	0.0591366	0.002131	-0.446367	0.0587879	0.00210361	-0.451524	0.0585715	0.00224164	-0.469388	0.0589327	0.0022755	~	?	0.297	0.703	0.433	0.567	0.026	0.974	plus	plus	plus
-1	0.0765248	0.0012488	-0.979592	0.0822739	0.000935995	-0.938272	0.0759234	0.000937929	-0.917355	0.0766433	0.00124293	-0.911243	0.0727967	0.00132526	-0.924444	0.0659581	0.00141387	-0.934256	0.0621897	0.00141445	-0.939058	0.0591513	0.00137979	-0.922902	0.0563956	0.00134744	~	?	0.738	0.262	0.747	0.253	0.799	0.201	minus	minus	minus
-0.84	0.13752	0.00399438	-0.571429	0.135232	0.00367834	-0.419753	0.123194	0.00324363	-0.429752	0.111268	0.00306312	-0.455621	0.0978597	0.00329504	-0.502222	0.0906702	0.00299557	-0.508651	0.0862565	0.00303102	-0.501385	0.0821342	0.00301482	-0.469388	0.078654	0.00286018	~	?	0.012	0.988	0.542	0.458	0.030	0.970	plus	minus	plus
-0.92	0.0639304	0.000252705	-0.877551	0.063587	0.000486986	-0.777778	0.0627263	0.000762278	-0.68595	0.0673379	0.00102119	-0.650888	0.0660344	0.00117645	-0.68	0.0679419	0.00136733	-0.695502	0.0732825	0.00197437	-0.686981	0.0745655	0.00192141	-0.675737	0.0766541	0.00209003	~	?	1.000	0.000	0.962	0.038	1.000	0.000	minus	minus	minus
-0.36	0.0935664	0.00141176	0.0204082	0.0979615	0.00232987	0.185185	0.091124	0.00276538	0.173554	0.0840407	0.00253034	0.159763	0.077112	0.0023947	0.208889	0.0696446	0.00232534	0.266436	0.064467	0.00208867	0.32964	0.0596176	0.00205487	0.387755	0.0588716	0.00204527	~	?	0.045	0.955	0.030	0.970	0.000	1.000	plus	plus	plus
-0.8	0.0557776	0.000500958	-0.836735	0.0798663	0.00361153	-0.728395	0.104071	0.00875887	-0.669421	0.0819924	0.00509719	-0.692308	0.0882344	0.00593755	-0.715556	0.0808698	0.00454155	-0.747405	0.0744783	0.00415805	-0.764543	0.0740565	0.00396441	-0.770975	0.0751658	0.00393585	~	?	0.907	0.093	0.830	0.170	0.954	0.046	minus	minus	minus
-0.2	0.0914459	0.00160679	0.0204082	0.0848563	0.00212227	0.135802	0.0843502	0.00223984	0.22314	0.0817262	0.00262949	0.207101	0.0800014	0.00273036	0.191111	0.078042	0.00261676	0.176471	0.0749273	0.00238252	0.152355	0.0763723	0.00266333	0.151927	0.077897	0.00307654	~	?	0.011	0.989	0.014	0.986	0.000	1.000	plus	plus	plus
-0.68	0.138838	0.00357361	-0.55102	0.127201	0.00360329	-0.481481	0.111225	0.00368739	-0.487603	0.0988786	0.00359727	-0.508876	0.0897956	0.00368192	-0.551111	0.0829911	0.003739	-0.567474	0.0773538	0.00395484	-0.590028	0.0708926	0.00399917	-0.60771	0.0660442	0.00360172	~	?	0.217	0.783	0.644	0.356	0.022	0.978	plus	minus	plus
-1	0.0755796	0.00131114	-0.795918	0.0803205	0.00126255	-0.580247	0.0741826	0.00200453	-0.454545	0.0694376	0.00223433	-0.514793	0.0665697	0.0018915	-0.591111	0.0660942	0.00185846	-0.591695	0.0652261	0.00167438	-0.578947	0.0614713	0.00151161	-0.573696	0.062143	0.00165777	~	?	0.152	0.848	0.264	0.736	0.000	1.000	plus	plus	plus
-0.36	0.10693	0.00385549	-0.44898	0.109916	0.00334965	-0.469136	0.104821	0.00297598	-0.53719	0.101466	0.00250948	-0.591716	0.0940282	0.00268087	-0.617778	0.0878648	0.00278765	-0.633218	0.085842	0.0030719	-0.645429	0.0826343	0.00343959	-0.641723	0.0806906	0.00319488	~	?	0.987	0.013	0.808	0.192	1.000	0.000	minus	minus	minus
-0.96	0.0806038	0.00174414	-0.938776	0.0693861	0.00112095	-0.950617	0.0605671	0.0010949	-0.966942	0.0629073	0.00146073	-0.928994	0.0634852	0.00136378	-0.857778	0.0594859	0.001267	-0.806228	0.0574246	0.00122193	-0.772853	0.0572973	0.0012134	-0.746032	0.0566674	0.00119686	~	?	0.804	0.196	0.661	0.339	0.402	0.598	minus	minus	plus
-1	0.0718395	0.000793788	-0.897959	0.0777959	0.00139416	-0.777778	0.0754945	0.00151728	-0.768595	0.0741031	0.00160762	-0.763314	0.0764653	0.0017538	-0.777778	0.0746827	0.0017359	-0.788927	0.0859588	0.00350168	-0.753463	0.0942036	0.00440455	-0.68254	0.0986454	0.00490249	~	?	0.959	0.041	0.931	0.069	1.000	0.000	minus	minus	minus
-0.8	0.129663	0.0041418	-0.77551	0.113853	0.00256106	-0.716049	0.0970086	0.00204824	-0.702479	0.0903262	0.00195326	-0.721893	0.088451	0.00211013	-0.688889	0.0872748	0.00249232	-0.66436	0.0833558	0.00236045	-0.65651	0.0825898	0.00240833	-0.655329	0.0830792	0.00258837	~	?	0.105	0.895	0.713	0.287	0.052	0.948	plus	minus	plus
-0.76	0.0995832	0.00260719	-0.755102	0.0941873	0.0028206	-0.691358	0.0951276	0.00338766	-0.586777	0.0997054	0.00290869	-0.502959	0.101314	0.00311058	-0.435556	0.0997783	0.00323983	-0.429066	0.0959262	0.00311001	-0.434903	0.092478	0.00298735	-0.473923	0.0901613	0.00294613	~	?	0.509	0.491	0.433	0.567	0.349	0.651	minus	plus	plus
-1	0.0640148	0.000573685	-0.938776	0.0671363	0.000603288	-0.888889	0.0649833	0.000778802	-0.834711	0.0626559	0.000841984	-0.816568	0.0631229	0.00105206	-0.791111	0.0701205	0.00188313	-0.750865	0.0763887	0.0021724	-0.728532	0.0797653	0.00268109	-0.689342	0.0843868	0.00326059	~	?	1.000	0.000	0.799	0.201	1.000	0.000	minus	minus	minus
-0.76	0.0393887	0.000359054	-0.734694	0.0495899	0.00122914	-0.728395	0.0572764	0.00155374	-0.727273	0.0555919	0.00150057	-0.739645	0.0543273	0.00143543	-0.72	0.0554383	0.00148329	-0.712803	0.0628856	0.0018366	-0.695291	0.070833	0.00258848	-0.662132	0.0747119	0.0029762	~	?	1.000	0.000	0.946	0.054	1.000	0.000	minus	minus	minus
-1	0.0652542	0.00162599	-1	0.0606269	0.00139841	-0.851852	0.0771246	0.00208822	-0.68595	0.0813739	0.00204151	-0.550296	0.0797631	0.00195737	-0.484444	0.0789532	0.00180185	-0.456747	0.0797793	0.00216939	-0.437673	0.0817474	0.00260456	-0.405896	0.0828805	0.00264556	~	?	0.004	0.996	0.174	0.826	0.000	1.000	plus	plus	plus
-1	0.0643244	0.000949408	-1	0.0864015	0.00416692	-0.777778	0.0929126	0.00531194	-0.636364	0.0739101	0.003688	-0.573964	0.0674697	0.00343443	-0.591111	0.0663697	0.00339235	-0.619377	0.0656633	0.00346095	-0.614958	0.0687857	0.00357984	-0.600907	0.0680968	0.00356737	~	?	0.079	0.921	0.405	0.595	0.000	1.000	plus	plus	plus
-0.12	0.146114	0.0051363	0.0204082	0.118168	0.00501753	0.111111	0.100474	0.00463811	0.190083	0.0903009	0.00407207	0.266272	0.0809334	0.00403293	0.351111	0.0752919	0.00389706	0.404844	0.0718603	0.00372767	0.385042	0.0707106	0.00377784	0.351474	0.0689249	0.00395238	~	?	0.064	0.936	0.019	0.981	0.000	1.000	plus	plus	plus
-0.36	0.0435105	0.000215492	0.0204082	0.0417942	0.00046482	0.135802	0.0432179	0.000624924	0.157025	0.0447871	0.000794973	0.159763	0.0442685	0.000843202	0.137778	0.0446159	0.000835487	0.0726644	0.045147	0.000794842	0.00277008	0.0447935	0.000785919	-0.0566893	0.0451732	0.00080337	~	?	0.063	0.937	0.126	0.874	0.000	1.000	plus	plus	plus
-0.6	0.0729204	0.00100414	-0.265306	0.0742135	0.00164185	-0.0617284	0.068708	0.00157756	-0.0247934	0.0667684	0.00138435	-0.0177515	0.0668606	0.00163036	-0.0222222	0.062127	0.0013165	-0.0242215	0.0654033	0.00162523	-0.00277008	0.0720062	0.00263979	0.031746	0.0724924	0.00280283	~	?	0.010	0.990	0.005	0.995	0.000	1.000	plus	plus	plus
-0.6	0.128007	0.00616491	-0.428571	0.106216	0.00327885	-0.382716	0.0881017	0.00400346	-0.421488	0.0905111	0.00526865	-0.497041	0.0847559	0.00472413	-0.542222	0.0786968	0.00412999	-0.581315	0.0749458	0.00376803	-0.617729	0.0717136	0.00363631	-0.632653	0.0691053	0.00353682	~	?	0.489	0.511	0.475	0.525	0.012	0.988	plus	plus	plus
-0.84	0.123811	0.00338234	-0.714286	0.107923	0.00316519	-0.580247	0.0931438	0.00315612	-0.438017	0.0850723	0.00310984	-0.278107	0.0788039	0.00292139	-0.164444	0.0720135	0.00276476	-0.0795848	0.0654767	0.00278834	-0.00831025	0.0617275	0.00279046	0.0544218	0.0588991	0.00283872	~	?	0.432	0.568	0.086	0.914	0.311	0.689	plus	plus	plus
0	0.0301184	0.000115914	-0.0408163	0.0381907	0.00072205	-0.0987654	0.0442212	0.00109478	-0.190083	0.0560798	0.00135014	-0.331361	0.0693611	0.00283938	-0.444444	0.076654	0.0036403	-0.49481	0.0739073	0.00309217	-0.537396	0.0707171	0.00279049	-0.569161	0.0704646	0.00262334	~	?	0.999	0.001	0.973	0.027	1.000	0.000	minus	minus	minus
-0.04	0.0794995	0.00236496	-0.306122	0.0719227	0.00174358	-0.45679	0.0617452	0.00161308	-0.520661	0.0668114	0.00178319	-0.467456	0.0751134	0.00245593	-0.368889	0.0748305	0.00262568	-0.33564	0.0694847	0.00250545	-0.34626	0.0683974	0.00248901	-0.38322	0.0669253	0.00249047	~	?	0.036	0.964	0.164	0.836	0.000	1.000	plus	plus	plus
-0.84	0.086831	0.000741302	-0.714286	0.0873181	0.00138619	-0.679012	0.084136	0.00127178	-0.669421	0.0844414	0.001228	-0.674556	0.0848338	0.00150768	-0.706667	0.086623	0.00164481	-0.712803	0.0854935	0.00198039	-0.731302	0.083355	0.00221755	-0.716553	0.0815958	0.00228935	~	?	0.331	0.669	0.868	0.132	0.187	0.813	plus	minus	plus
-0.96	0.102052	0.00345529	-0.795918	0.109878	0.0029376	-0.703704	0.104402	0.00266243	-0.68595	0.0918196	0.00215801	-0.692308	0.0818063	0.00236439	-0.706667	0.0776196	0.00261755	-0.723183	0.0746168	0.00229642	-0.753463	0.0727704	0.00190409	-0.773243	0.0714818	0.00196821	~	?	0.096	0.904	0.799	0.201	0.161	0.839	plus	minus	plus
0.12	0.0831672	0.00179287	0.0612245	0.0728639	0.00238812	0.234568	0.0785977	0.00251209	0.355372	0.0733316	0.00247807	0.384615	0.0676175	0.00246826	0.333333	0.0646661	0.00222982	0.307958	0.0611941	0.00228389	0.33518	0.0595861	0.00200576	0.365079	0.0584801	0.00185237	~	?	0.008	0.992	0.004	0.996	0.000	1.000	plus	plus	plus
-0.84	0.100918	0.000688745	-0.795918	0.0755979	0.00170327	-0.753086	0.0730795	0.00156278	-0.735537	0.0810493	0.00189905	-0.739645	0.0825582	0.00193179	-0.715556	0.0771612	0.0016813	-0.702422	0.0706469	0.00160516	-0.67313	0.0661668	0.00163417	-0.655329	0.0625003	0.00167388	~	?	0.998	0.002	0.791	0.209	0.969	0.031	minus	minus	minus
-1	0.0669705	0.00110622	-1	0.0821465	0.00233469	-0.950617	0.0857882	0.00199383	-0.85124	0.0787961	0.00168835	-0.775148	0.0708671	0.00180631	-0.688889	0.0689435	0.0016821	-0.619377	0.0658824	0.00166549	-0.551247	0.0637494	0.00164178	-0.492063	0.0615271	0.00159495	~	?	0.036	0.964	0.181	0.819	0.926	0.074	plus	plus	minus
-0.84	0.0811625	0.000394636	-0.510204	0.0732907	0.000682254	-0.209877	0.061797	0.000834698	-0.123967	0.0581961	0.000765974	-0.0650888	0.0542631	0.00094781	-0.0222222	0.0539297	0.000957457	-0.0449827	0.0553214	0.00104352	-0.0637119	0.0530601	0.00107902	-0.0657596	0.0502474	0.000966391	~	?	0.014	0.986	0.181	0.819	0.000	1.000	plus	plus	plus
-0.6	0.0560266	0.000431791	-0.387755	0.0590199	0.00075472	-0.358025	0.0617078	0.000806709	-0.256198	0.0557291	0.00083372	-0.147929	0.0533727	0.000808798	-0.04	0.0511271	0.000891124	0.0311419	0.0506703	0.000938594	0.0249307	0.0506551	0.00103571	-0.00680272	0.0499648	0.00105877	~	?	0.003	0.997	0.077	0.923	0.000	1.000	plus	plus	plus
-0.68	0.0554236	0.00092944	-0.469388	0.0561406	0.000706541	-0.0864198	0.0499317	0.00062347	0.140496	0.04293	0.000711494	0.289941	0.0406922	0.000809627	0.395556	0.0385739	0.000925009	0.467128	0.0359908	0.0010196	0.512465	0.0349454	0.00106879	0.519274	0.0339878	0.00105953	~	?	0.045	0.955	0.018	0.982	0.000	1.000	plus	plus	plus
-1	0.0782759	0.000981045	-1	0.0701081	0.000909245	-1	0.0672289	0.000986967	-0.917355	0.0719368	0.00184603	-0.786982	0.0721152	0.00204875	-0.64	0.0685354	0.00216723	-0.550173	0.0666087	0.00224714	-0.473684	0.0661305	0.00255813	-0.39229	0.0637421	0.00249508	~	?	0.258	0.742	0.337	0.663	0.111	0.889	plus	plus	plus
-0.12	0.0818553	0.000983442	0.183673	0.0616132	0.00111865	0.333333	0.0502504	0.000928525	0.438017	0.0428521	0.00097041	0.502959	0.038821	0.000925051	0.555556	0.0356647	0.000900757	0.577855	0.0334239	0.000837782	0.606648	0.0311986	0.000762149	0.605442	0.0293975	0.000682337	~	?	0.040	0.960	0.006	0.994	0.000	1.000	plus	plus	plus
-1	0.0844086	0.00161134	-0.959184	0.0818095	0.00145373	-0.82716	0.0833223	0.00123521	-0.68595	0.0750443	0.00131879	-0.621302	0.0708348	0.001478	-0.564444	0.0654997	0.00126305	-0.508651	0.0627811	0.00124356	-0.468144	0.06339	0.00135589	-0.464853	0.0617632	0.00146216	~	?	0.079	0.921	0.254	0.746	0.057	0.943	plus	plus	plus
-0.44	0.122389	0.00294163	-0.387755	0.0996881	0.00295607	-0.407407	0.0904864	0.00279863	-0.355372	0.0795454	0.00317075	-0.325444	0.0733909	0.00315668	-0.315556	0.0713293	0.00286055	-0.314879	0.0673022	0.00270378	-0.313019	0.0638475	0.00268493	-0.315193	0.0633201	0.00262499	~	?	0.182	0.818	0.245	0.755	0.485	0.515	plus	plus	plus
-0.16	0.043268	0.000774985	-0.326531	0.0542375	0.00134262	-0.432099	0.0603121	0.00169706	-0.495868	0.0660529	0.00219816	-0.538462	0.0664383	0.0023241	-0.533333	0.0647407	0.00234718	-0.50519	0.0631478	0.00234608	-0.493075	0.0632281	0.00228249	-0.485261	0.0656589	0.00227118	~	?	0.993	0.007	0.754	0.246	1.000	0.000	minus	minus	minus
-0.6	0.0717501	0.000733756	-0.306122	0.068987	0.000786941	-0.111111	0.0605141	0.000931205	-0.00826446	0.058912	0.000732108	0.0532544	0.0532909	0.000809687	0.0666667	0.0512609	0.000740027	0.00346021	0.0521567	0.000836234	-0.0360111	0.0522239	0.000939769	-0.047619	0.0517533	0.000997773	~	?	0.009	0.991	0.033	0.967	0.000	1.000	plus	plus	plus
-0.24	0.0873438	0.00230126	-0.346939	0.090412	0.00274967	-0.481481	0.101922	0.00257367	-0.578512	0.111277	0.00375284	-0.633136	0.108462	0.00360679	-0.635556	0.0997589	0.00325589	-0.605536	0.090283	0.00322524	-0.598338	0.082954	0.00316105	-0.605442	0.0796812	0.00302237	~	?	0.998	0.002	0.877	0.123	1.000	0.000	minus	minus	minus
0.52	0.0697876	0.00227966	0.387755	0.0680627	0.00258346	0.432099	0.0672776	0.00215028	0.404959	0.0638219	0.00190411	0.372781	0.0636149	0.00186795	0.324444	0.0626036	0.00191693	0.259516	0.0633191	0.0020203	0.235457	0.0646578	0.00232922	0.238095	0.0640587	0.00244403	~	?	0.026	0.974	0.008	0.992	0.000	1.000	plus	plus	plus
-0.16	0.0790062	0.000755624	-0.102041	0.0785145	0.00154659	-0.123457	0.0661911	0.00167379	-0.132231	0.0614737	0.0016637	-0.147929	0.0648621	0.00243839	-0.177778	0.0695866	0.00279055	-0.217993	0.0692497	0.00304281	-0.252078	0.0683831	0.00284892	-0.281179	0.0701104	0.00274291	~	?	0.916	0.084	0.404	0.596	0.184	0.816	minus	plus	plus
-0.68	0.0460349	0.00102094	-0.755102	0.0483663	0.00124462	-0.82716	0.0511015	0.00138661	-0.876033	0.0568583	0.00166141	-0.846154	0.0630459	0.00209017	-0.791111	0.0641043	0.00221255	-0.757785	0.067266	0.00188033	-0.722992	0.0745607	0.00220688	-0.678005	0.0797726	0.00263727	~	?	1.000	0.000	0.869	0.131	1.000	0.000	minus	minus	minus
