@relation 'training-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.supervised.attribute.AddClassification-Wweka.classifiers.rules.ZeroR-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28'

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute q numeric
@attribute r numeric
@attribute s numeric
@attribute t numeric
@attribute u numeric
@attribute v numeric
@attribute w numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute aa numeric
@attribute bb {1,-1}

@data
-0.84,0.130212,0.006833,-0.632653,0.12195,0.008102,-0.530864,0.104384,0.007947,-0.471074,0.091186,0.006872,-0.39645,0.087035,0.006494,-0.315556,0.081678,0.005702,-0.245675,0.077982,0.005543,-0.163435,0.075306,0.005377,-0.0839,0.074609,0.005269,1
0.12,0.088751,0.001955,0.265306,0.07706,0.002156,0.358025,0.067408,0.002174,0.438017,0.061992,0.002034,0.431953,0.059848,0.00195,0.377778,0.061256,0.002102,0.307958,0.062122,0.002114,0.268698,0.062219,0.002241,0.251701,0.062554,0.002362,1
-0.12,0.082179,0.002773,-0.306122,0.077763,0.002051,-0.45679,0.06144,0.001852,-0.504132,0.068155,0.00212,-0.455621,0.074173,0.002944,-0.377778,0.073194,0.002997,-0.342561,0.069748,0.00296,-0.371191,0.070795,0.002941,-0.403628,0.068882,0.002789,1
-0.52,0.055406,0.000448,-0.387755,0.054963,0.000829,-0.308642,0.062212,0.000827,-0.190083,0.056813,0.000831,-0.100592,0.052495,0.000748,-0.004444,0.050613,0.000812,0.044983,0.049633,0.000879,0.024931,0.049929,0.000948,-0.006803,0.05121,0.001076,1
-1,0.073302,0.000845,-0.959184,0.068236,0.000771,-0.925926,0.064023,0.000998,-0.900826,0.061703,0.001076,-0.810651,0.066311,0.001378,-0.715556,0.068,0.001603,-0.647059,0.06471,0.001346,-0.606648,0.063145,0.001266,-0.575964,0.06268,0.001311,1
-0.92,0.045453,0.000154,-0.857143,0.049908,0.000247,-0.851852,0.052091,0.000935,-0.876033,0.055832,0.001271,-0.863905,0.05813,0.001179,-0.857778,0.062573,0.001293,-0.83391,0.065829,0.001383,-0.772853,0.064702,0.001381,-0.702948,0.062521,0.001328,-1
-0.84,0.114977,0.002494,-0.55102,0.117709,0.00289,-0.382716,0.115736,0.003427,-0.289256,0.099909,0.003017,-0.301775,0.098824,0.00331,-0.297778,0.099299,0.003757,-0.342561,0.08995,0.003462,-0.390582,0.08866,0.00347,-0.437642,0.08913,0.003421,1
0.04,0.056021,0.000627,0.061224,0.055778,0.00104,0.012346,0.05651,0.001005,-0.057851,0.055545,0.001001,-0.088757,0.052974,0.001057,-0.111111,0.050548,0.001148,-0.121107,0.048928,0.001165,-0.152355,0.048436,0.0011,-0.174603,0.048395,0.001029,1
-0.88,0.036096,0.000287,-0.795918,0.04063,0.000661,-0.790123,0.048466,0.002385,-0.752066,0.050797,0.002662,-0.727811,0.052587,0.002628,-0.715556,0.053586,0.002798,-0.712803,0.053366,0.002987,-0.6759,0.052797,0.002934,-0.639456,0.053758,0.002679,-1
-1,0.063468,0.000261,-1,0.04943,0.000514,-1,0.046839,0.000444,-1,0.045544,0.000411,-0.994083,0.044575,0.000339,-0.991111,0.043335,0.000305,-0.986159,0.041418,0.00029,-0.977839,0.041897,0.000355,-0.963719,0.044088,0.000518,-1
-1,0.041198,0.000347,-1,0.043689,0.000333,-1,0.051396,0.000563,-0.958678,0.056039,0.00055,-0.893491,0.05918,0.000716,-0.831111,0.060792,0.000966,-0.806228,0.062376,0.001256,-0.803324,0.063414,0.001467,-0.814059,0.066742,0.001884,-1
-0.2,0.033655,0.000104,-0.306122,0.043544,0.001159,-0.382716,0.060782,0.002388,-0.446281,0.066916,0.002245,-0.514793,0.068724,0.002311,-0.573333,0.067609,0.001932,-0.619377,0.066003,0.001872,-0.648199,0.065008,0.001847,-0.662132,0.063564,0.001669,-1
-1,0.086069,0.002063,-0.877551,0.09127,0.002058,-0.777778,0.085678,0.002044,-0.735537,0.082432,0.001791,-0.692308,0.07535,0.001764,-0.671111,0.073248,0.001726,-0.612457,0.073451,0.001726,-0.562327,0.07247,0.001724,-0.501134,0.069621,0.001728,1
-1,0.115848,0.003059,-0.877551,0.112936,0.004191,-0.679012,0.100634,0.00431,-0.652893,0.092131,0.004409,-0.639053,0.086088,0.004318,-0.631111,0.084177,0.004153,-0.629758,0.081429,0.003884,-0.634349,0.075099,0.003604,-0.643991,0.069594,0.003403,1
-0.56,0.180532,0.00414,-0.204082,0.159828,0.005321,-0.024691,0.13084,0.007792,0.090909,0.115351,0.00794,0.153846,0.107918,0.008032,0.177778,0.10287,0.00777,0.190311,0.09891,0.007561,0.191136,0.094942,0.007433,0.197727,0.091342,0.007124,-1
-0.36,0.058715,0.000887,-0.020408,0.054209,0.00086,0.135802,0.05486,0.000761,0.22314,0.05332,0.000897,0.207101,0.057601,0.001932,0.164444,0.056988,0.002099,0.176471,0.058824,0.002519,0.168975,0.057298,0.002383,0.179138,0.057085,0.002445,1
-0.8,0.113,0.000932,-0.714286,0.08942,0.002061,-0.530864,0.077808,0.002563,-0.396694,0.069287,0.003002,-0.325444,0.062555,0.003112,-0.275556,0.059185,0.002895,-0.262976,0.056446,0.002686,-0.249307,0.054638,0.002551,-0.238095,0.053816,0.002405,-1
-1,0.025016,0.000119,-0.979592,0.030562,0.00036,-0.938272,0.041362,0.00098,-0.876033,0.048326,0.00177,-0.810651,0.053007,0.001607,-0.826667,0.058563,0.002642,-0.83045,0.059325,0.002646,-0.797784,0.054755,0.002047,-0.78458,0.053721,0.001887,-1
-0.24,0.086952,0.001814,-0.387755,0.112243,0.003043,-0.481481,0.116796,0.004061,-0.545455,0.111975,0.003114,-0.573964,0.107004,0.003061,-0.577778,0.099981,0.003245,-0.591696,0.091774,0.00333,-0.601108,0.085704,0.003085,-0.591837,0.081205,0.002905,-1
0.04,0.121477,0.003984,-0.020408,0.096012,0.00444,0.012346,0.094701,0.004002,0.123967,0.085156,0.003528,0.230769,0.079802,0.003315,0.271111,0.069635,0.002963,0.259516,0.064756,0.002624,0.246537,0.06358,0.002822,0.258503,0.062239,0.003035,1
-0.64,0.038954,0.000519,-0.571429,0.035757,0.000478,-0.481481,0.035469,0.000347,-0.504132,0.041548,0.000549,-0.585799,0.050409,0.001238,-0.64,0.057653,0.00171,-0.67474,0.059675,0.002043,-0.695291,0.061028,0.002422,-0.712018,0.061968,0.002669,-1
-0.2,0.108575,0.001787,0.061224,0.094136,0.002836,0.259259,0.08026,0.003116,0.404959,0.07057,0.002988,0.47929,0.065601,0.002987,0.493333,0.062283,0.002971,0.49481,0.060595,0.002915,0.498615,0.059047,0.002882,0.494331,0.058818,0.002942,1
-0.8,0.146014,0.005865,-0.673469,0.135413,0.005637,-0.54321,0.131583,0.005566,-0.479339,0.121751,0.005825,-0.402367,0.113936,0.006024,-0.346667,0.105259,0.005785,-0.304498,0.097954,0.005514,-0.271468,0.094602,0.005471,-0.229025,0.091418,0.005244,-1
-1,0.031734,0.000135,-1,0.032035,0.00018,-0.975309,0.033047,0.000299,-0.834711,0.035246,0.000356,-0.715976,0.035212,0.000596,-0.662222,0.037033,0.000674,-0.640138,0.037487,0.000842,-0.639889,0.03714,0.00094,-0.632653,0.036458,0.000896,1
-0.12,0.054669,0.000977,-0.061224,0.064897,0.001159,0.160494,0.062902,0.001531,0.272727,0.055023,0.001183,0.289941,0.059911,0.002055,0.315556,0.065115,0.004154,0.366782,0.064879,0.004164,0.398892,0.062332,0.003756,0.405896,0.062564,0.003812,1
-1,0.050304,0.000419,-1,0.052057,0.000623,-0.987654,0.059175,0.000912,-0.933884,0.062809,0.000797,-0.899408,0.062836,0.000767,-0.906667,0.065418,0.000843,-0.920415,0.066194,0.001182,-0.936288,0.065845,0.001373,-0.911565,0.065029,0.001458,-1
-0.84,0.100692,0.001963,-0.673469,0.089109,0.002375,-0.580247,0.080033,0.003049,-0.512397,0.075694,0.003259,-0.455621,0.073056,0.003477,-0.413333,0.070176,0.003662,-0.377163,0.067144,0.003586,-0.354571,0.066957,0.003567,-0.351474,0.065494,0.003262,1
-0.8,0.126463,0.004054,-0.612245,0.109186,0.005187,-0.444444,0.094785,0.005149,-0.38843,0.083319,0.0051,-0.390533,0.081007,0.005142,-0.382222,0.076587,0.004482,-0.411765,0.07585,0.004029,-0.445983,0.072359,0.003469,-0.487528,0.0683,0.003156,-1
-0.76,0.068193,0.000634,-0.673469,0.058574,0.000926,-0.62963,0.060759,0.001037,-0.53719,0.061325,0.00101,-0.455621,0.060618,0.000864,-0.395556,0.055702,0.000881,-0.384083,0.052034,0.000866,-0.379501,0.049973,0.000864,-0.356009,0.047749,0.00086,1
-0.72,0.058586,0.000475,-0.693878,0.068597,0.000791,-0.691358,0.07494,0.000904,-0.735537,0.073863,0.000807,-0.733728,0.072102,0.00086,-0.737778,0.07098,0.001049,-0.740484,0.07149,0.001187,-0.747922,0.071245,0.001231,-0.743764,0.070615,0.001258,-1
-0.2,0.079285,0.000961,0.102041,0.065733,0.001179,0.283951,0.055342,0.001226,0.38843,0.051419,0.001184,0.39645,0.048088,0.001171,0.377778,0.044316,0.000996,0.32872,0.043878,0.001013,0.285319,0.04571,0.001219,0.229025,0.046107,0.001161,1
-0.12,0.201509,0.008421,0.040816,0.138874,0.013583,0.123457,0.110715,0.013836,0.173554,0.09748,0.012866,0.177515,0.098333,0.017,0.177778,0.092298,0.015958,0.16609,0.091863,0.017274,0.166205,0.090035,0.01689,0.172336,0.084153,0.014798,-1
-1,0.038483,0.000247,-1,0.050192,0.001257,-1,0.071066,0.003409,-0.917355,0.079098,0.003485,-0.846154,0.073733,0.002476,-0.822222,0.071248,0.002291,-0.799308,0.072245,0.002133,-0.775623,0.073473,0.002053,-0.748299,0.075746,0.002204,-1
-0.92,0.097301,0.00193,-0.755102,0.076692,0.00171,-0.703704,0.077244,0.001724,-0.652893,0.080463,0.002038,-0.615385,0.074549,0.002044,-0.591111,0.076997,0.00204,-0.567474,0.074703,0.002116,-0.567867,0.073476,0.002389,-0.546485,0.07405,0.002637,-1
-0.2,0.104706,0.002783,-0.469388,0.088688,0.00313,-0.580247,0.099399,0.003789,-0.545455,0.095617,0.004007,-0.473373,0.092893,0.003804,-0.408889,0.084419,0.003587,-0.425606,0.079456,0.003246,-0.445983,0.07463,0.002969,-0.469388,0.071517,0.002881,1
-1,0.08696,0.001381,-0.918367,0.073685,0.001371,-0.901235,0.064995,0.001245,-0.909091,0.074072,0.001452,-0.91716,0.083108,0.002737,-0.835556,0.085845,0.002778,-0.761246,0.080487,0.002262,-0.684211,0.077702,0.002274,-0.609977,0.07505,0.002155,-1
-0.28,0.074528,0.00122,-0.102041,0.070227,0.001091,-0.037037,0.072449,0.001385,-0.024793,0.06955,0.001407,-0.076923,0.064765,0.001402,-0.146667,0.059994,0.001206,-0.204152,0.053312,0.001164,-0.240997,0.048017,0.00109,-0.287982,0.047052,0.001007,1
-0.44,0.03869,0.000229,-0.55102,0.054205,0.000513,-0.679012,0.057124,0.000569,-0.743802,0.054649,0.000577,-0.786982,0.055348,0.000907,-0.804444,0.056356,0.000975,-0.795848,0.056896,0.001119,-0.781163,0.056874,0.001185,-0.777778,0.056234,0.001136,-1
-0.76,0.126169,0.002621,-0.591837,0.108609,0.002151,-0.580247,0.108062,0.002749,-0.595041,0.111907,0.003759,-0.550296,0.106074,0.003891,-0.488889,0.094371,0.003995,-0.484429,0.088195,0.003926,-0.479224,0.089166,0.003958,-0.462585,0.090331,0.003948,-1
-1,0.035115,0.000242,-1,0.038582,0.000644,-1,0.045454,0.000817,-1,0.047923,0.000975,-1,0.04982,0.001003,-1,0.051806,0.00098,-0.99308,0.05426,0.001087,-0.98338,0.057719,0.001221,-0.959184,0.059544,0.00131,-1
-1,0.042054,0.000288,-0.938776,0.040441,0.000287,-0.901235,0.04365,0.000508,-0.876033,0.04337,0.000482,-0.852071,0.043602,0.000423,-0.808889,0.046115,0.000614,-0.782007,0.04814,0.000827,-0.745152,0.047654,0.000854,-0.702948,0.046187,0.000875,-1
-1,0.072268,0.000623,-0.938776,0.071784,0.001501,-0.802469,0.078665,0.002121,-0.760331,0.079149,0.001684,-0.698225,0.086614,0.002447,-0.648889,0.088894,0.002554,-0.612457,0.088759,0.002484,-0.587258,0.086649,0.002505,-0.564626,0.086149,0.002767,1
-0.92,0.050719,0.000479,-0.918367,0.05583,0.000547,-0.950617,0.062435,0.000885,-0.958678,0.066546,0.001056,-0.946746,0.066942,0.00121,-0.871111,0.066371,0.001191,-0.788927,0.06424,0.00126,-0.742382,0.064104,0.001265,-0.730159,0.067745,0.001468,-1
-0.36,0.057852,0.000665,-0.469388,0.067896,0.000959,-0.580247,0.072662,0.001246,-0.652893,0.06983,0.001218,-0.692308,0.068913,0.001503,-0.688889,0.06685,0.001458,-0.681661,0.062308,0.001408,-0.6759,0.058238,0.00141,-0.675737,0.05698,0.001699,-1
-0.28,0.096024,0.00231,-0.428571,0.078388,0.002139,-0.432099,0.072328,0.001817,-0.338843,0.065114,0.001658,-0.218935,0.061196,0.001791,-0.12,0.059221,0.001989,-0.044983,0.057381,0.002349,-0.047091,0.059576,0.002456,-0.061224,0.05881,0.002324,1
-1,0.068577,0.000458,-1,0.062509,0.000843,-1,0.05857,0.001052,-0.966942,0.054467,0.00108,-0.940828,0.050567,0.001035,-0.911111,0.048465,0.000872,-0.896194,0.04784,0.000829,-0.894737,0.049285,0.000815,-0.900227,0.051123,0.000903,-1
-1,0.061717,0.000473,-1,0.061908,0.000741,-1,0.056626,0.000875,-1,0.052166,0.00099,-1,0.04898,0.000988,-1,0.047854,0.00093,-1,0.045752,0.000938,-0.99446,0.043891,0.000944,-0.995465,0.042822,0.000953,1
-0.96,0.114825,0.003058,-0.836735,0.093948,0.002762,-0.888889,0.078313,0.002426,-0.859504,0.074928,0.002143,-0.840237,0.075176,0.002164,-0.835556,0.07832,0.001992,-0.83737,0.078556,0.001978,-0.839335,0.077741,0.00209,-0.829932,0.079514,0.002208,-1
-0.64,0.110469,0.004321,-0.693878,0.113592,0.004137,-0.679012,0.097121,0.003693,-0.727273,0.092299,0.003782,-0.763314,0.092019,0.003328,-0.773333,0.08391,0.002813,-0.792388,0.077703,0.00266,-0.808864,0.081002,0.002626,-0.777778,0.084388,0.002863,-1
-0.56,0.137971,0.005726,-0.22449,0.123736,0.006984,-0.111111,0.110748,0.007019,-0.099174,0.106433,0.006456,-0.147929,0.09736,0.005462,-0.177778,0.09118,0.005004,-0.176471,0.092295,0.004669,-0.182825,0.092118,0.004548,-0.172336,0.092361,0.004569,-1
-0.8,0.100685,0.001425,-0.714286,0.083569,0.001828,-0.654321,0.07883,0.001827,-0.619835,0.074,0.00169,-0.615385,0.071439,0.001584,-0.622222,0.07041,0.001621,-0.626298,0.073667,0.001673,-0.609418,0.077093,0.001911,-0.598639,0.077072,0.001922,-1
-1,0.090196,0.001062,-0.714286,0.086513,0.001402,-0.45679,0.072949,0.00129,-0.371901,0.065567,0.001296,-0.408284,0.06391,0.001246,-0.431111,0.062046,0.001067,-0.432526,0.057837,0.001029,-0.401662,0.055547,0.000967,-0.387755,0.052952,0.000938,1
-0.76,0.142317,0.002701,-0.673469,0.125534,0.003407,-0.62963,0.114731,0.003996,-0.595041,0.106101,0.004177,-0.556213,0.097544,0.004497,-0.577778,0.088505,0.004539,-0.619377,0.080273,0.004114,-0.642659,0.075737,0.003851,-0.659864,0.072212,0.003592,1
-0.84,0.040994,0.000653,-0.673469,0.049266,0.000823,-0.407407,0.05259,0.000878,-0.173554,0.052866,0.000773,-0.005917,0.051532,0.000704,0.102222,0.050663,0.000702,0.183391,0.049112,0.00077,0.268698,0.047186,0.000773,0.301587,0.04647,0.000882,1
-0.2,0.075746,0.001202,0.102041,0.067291,0.001158,0.283951,0.055967,0.001126,0.371901,0.051102,0.001278,0.408284,0.047779,0.001205,0.395556,0.044364,0.001043,0.321799,0.046304,0.001057,0.268698,0.048132,0.001237,0.21542,0.046875,0.001141,1
-0.76,0.136017,0.004943,-0.408163,0.120322,0.004744,-0.160494,0.105,0.005628,-0.024793,0.095812,0.005726,0.04142,0.09044,0.00616,0.106667,0.089382,0.006225,0.16263,0.086924,0.005813,0.216066,0.081321,0.005265,0.249433,0.077594,0.004855,-1
-1,0.034137,0.000914,-1,0.048654,0.002429,-0.901235,0.054218,0.002142,-0.818182,0.052391,0.001691,-0.757396,0.049994,0.001495,-0.72,0.048989,0.001381,-0.698962,0.048427,0.001347,-0.6759,0.050259,0.001426,-0.659864,0.051029,0.001447,-1
-0.68,0.108284,0.001626,-0.469388,0.111155,0.002893,-0.283951,0.109487,0.003409,-0.22314,0.099242,0.00328,-0.218935,0.098088,0.003773,-0.235556,0.098817,0.004008,-0.294118,0.094011,0.003731,-0.379501,0.08923,0.003682,-0.442177,0.088797,0.003437,1
-0.76,0.025839,0.000075,-0.877551,0.025456,0.000157,-0.925926,0.026594,0.000204,-0.933884,0.0309,0.000287,-0.928994,0.042158,0.001108,-0.906667,0.056295,0.002353,-0.820069,0.061598,0.002718,-0.734072,0.057021,0.002265,-0.664399,0.054936,0.002212,-1
-0.84,0.07785,0.001955,-0.836735,0.093216,0.003173,-0.851852,0.097438,0.004451,-0.818182,0.085477,0.0041,-0.804734,0.080103,0.004048,-0.8,0.074931,0.003708,-0.792388,0.070012,0.003411,-0.783934,0.067238,0.003378,-0.77551,0.062953,0.003138,1
0.28,0.058289,0.000625,0.183673,0.05509,0.000597,0.185185,0.058006,0.00076,0.206612,0.056378,0.00071,0.136095,0.055062,0.000891,0.066667,0.056733,0.000861,0.00346,0.054413,0.000845,-0.052632,0.052409,0.00082,-0.088435,0.052743,0.000838,1
-0.2,0.155375,0.003779,-0.387755,0.140653,0.004171,-0.530864,0.118492,0.004482,-0.619835,0.120467,0.003715,-0.621302,0.118263,0.00364,-0.555556,0.10907,0.003659,-0.467128,0.100429,0.003672,-0.429363,0.092155,0.003549,-0.405896,0.084018,0.003373,1
-0.12,0.067531,0.003817,-0.204082,0.1006,0.004933,-0.333333,0.122516,0.00868,-0.396694,0.126075,0.008871,-0.414201,0.123293,0.007662,-0.408889,0.120808,0.007609,-0.415225,0.117338,0.007615,-0.423823,0.109811,0.007433,-0.433107,0.103422,0.007484,-1
-1,0.067024,0.001891,-0.877551,0.068686,0.001313,-0.82716,0.064538,0.001338,-0.785124,0.063247,0.001466,-0.763314,0.063547,0.001375,-0.755556,0.067242,0.001472,-0.768166,0.070524,0.001549,-0.781163,0.072027,0.001625,-0.780045,0.069852,0.001629,-1
-0.2,0.103369,0.00437,-0.22449,0.100724,0.003214,-0.308642,0.102266,0.00286,-0.355372,0.085887,0.002949,-0.360947,0.08158,0.003102,-0.377778,0.078787,0.003288,-0.429066,0.07772,0.003606,-0.454294,0.076469,0.003812,-0.480726,0.073854,0.003722,1
-0.68,0.10302,0.001266,-0.469388,0.107373,0.003193,-0.45679,0.10292,0.002807,-0.421488,0.089764,0.003022,-0.408284,0.085215,0.002744,-0.431111,0.078366,0.002448,-0.508651,0.075267,0.002358,-0.556787,0.075202,0.002335,-0.585034,0.076289,0.00252,1
-0.84,0.065713,0.001357,-0.55102,0.06913,0.001049,-0.382716,0.065208,0.001041,-0.239669,0.0587,0.000933,-0.218935,0.053523,0.000868,-0.235556,0.049796,0.000794,-0.266436,0.048361,0.000818,-0.296399,0.048038,0.000794,-0.310658,0.046566,0.000779,1
-0.2,0.05245,0.000723,-0.183673,0.052327,0.000724,-0.111111,0.054579,0.000902,-0.090909,0.054017,0.000923,-0.100592,0.052031,0.00095,-0.066667,0.052356,0.00097,-0.017301,0.05178,0.00102,0.01385,0.050759,0.001077,-0.013605,0.051642,0.00106,1
-0.2,0.148901,0.00473,-0.020408,0.119823,0.005105,0.135802,0.101632,0.004803,0.22314,0.091592,0.004529,0.289941,0.081539,0.004165,0.36,0.074229,0.003772,0.397924,0.069173,0.003607,0.385042,0.066807,0.003451,0.346939,0.065998,0.003529,1
-0.44,0.110845,0.003797,-0.510204,0.107842,0.002115,-0.580247,0.097815,0.001977,-0.68595,0.098915,0.001656,-0.739645,0.101309,0.002618,-0.755556,0.098925,0.00295,-0.719723,0.090414,0.00299,-0.728532,0.085699,0.00316,-0.736961,0.085083,0.003172,-1
-0.2,0.089217,0.001735,-0.44898,0.090162,0.002164,-0.555556,0.088094,0.001798,-0.61157,0.09283,0.002954,-0.633136,0.09827,0.004333,-0.6,0.095366,0.003636,-0.539792,0.091835,0.003191,-0.476454,0.087962,0.003059,-0.426304,0.085088,0.00311,-1
-0.84,0.097155,0.00323,-0.795918,0.095816,0.003928,-0.679012,0.090314,0.004122,-0.619835,0.081476,0.00424,-0.621302,0.078936,0.004058,-0.604444,0.07874,0.003878,-0.588235,0.076843,0.003683,-0.592798,0.07245,0.003463,-0.600907,0.067471,0.003308,1
-0.6,0.058591,0.000587,-0.102041,0.069691,0.001753,0.160494,0.062341,0.001607,0.322314,0.060016,0.0021,0.349112,0.066737,0.004895,0.382222,0.067622,0.004848,0.380623,0.066014,0.00409,0.368421,0.065773,0.004169,0.387755,0.06457,0.003939,1
-0.64,0.120175,0.003464,-0.510204,0.102796,0.002257,-0.432099,0.082684,0.002259,-0.429752,0.070972,0.002116,-0.485207,0.065521,0.001831,-0.52,0.063268,0.001725,-0.508651,0.061086,0.001629,-0.506925,0.057851,0.001534,-0.503401,0.055424,0.001434,-1
0,0.003806,0.000088,0,0.006695,0.000234,0,0.018745,0.001303,-0.033058,0.031209,0.002858,-0.088757,0.037044,0.003114,-0.133333,0.042878,0.003068,-0.176471,0.048062,0.003081,-0.213296,0.05186,0.003162,-0.235828,0.053922,0.003251,-1
-0.44,0.070398,0.000691,-0.142857,0.062912,0.000853,0.061728,0.061185,0.000973,0.123967,0.061554,0.001269,0.100592,0.05776,0.001346,0.031111,0.055504,0.00127,-0.038062,0.05358,0.001207,-0.102493,0.049621,0.001103,-0.201814,0.047881,0.001056,1
-0.84,0.099886,0.001044,-0.795918,0.082566,0.001544,-0.814815,0.087153,0.001462,-0.735537,0.092732,0.002097,-0.680473,0.090541,0.002172,-0.635556,0.084437,0.001887,-0.622837,0.078193,0.001826,-0.634349,0.07352,0.001864,-0.637188,0.070607,0.0019,-1
-0.96,0.057949,0.001745,-0.938776,0.067133,0.00113,-0.962963,0.070044,0.002104,-0.975207,0.070984,0.001717,-0.982249,0.07441,0.002251,-0.906667,0.074654,0.001904,-0.844291,0.069167,0.001665,-0.792244,0.064903,0.001616,-0.734694,0.063406,0.001573,-1
-1,0.079176,0.000825,-0.673469,0.076802,0.000928,-0.45679,0.066986,0.00099,-0.322314,0.063844,0.000944,-0.266272,0.059659,0.000984,-0.235556,0.056356,0.00091,-0.231834,0.052431,0.000927,-0.246537,0.048461,0.00094,-0.251701,0.046291,0.000876,1
-1,0.079717,0.000643,-0.959184,0.06006,0.001054,-0.950617,0.05065,0.001274,-0.933884,0.046885,0.001302,-0.887574,0.050225,0.001221,-0.84,0.052336,0.001267,-0.816609,0.052427,0.001439,-0.770083,0.050574,0.00142,-0.768707,0.049685,0.001438,-1
-0.52,0.097574,0.002109,-0.55102,0.082163,0.002478,-0.580247,0.069085,0.002607,-0.553719,0.062085,0.002482,-0.56213,0.057295,0.002299,-0.555556,0.053289,0.002245,-0.543253,0.051761,0.002161,-0.590028,0.053277,0.002085,-0.628118,0.054685,0.002253,1
-0.24,0.097352,0.003602,-0.142857,0.105104,0.006991,-0.049383,0.106461,0.007327,-0.008264,0.101894,0.008011,0.017751,0.102569,0.009516,0.048889,0.099104,0.008743,0.069444,0.099578,0.00834,0.086111,0.096006,0.007848,0.106818,0.092237,0.007567,-1
-0.76,0.117052,0.002586,-0.469388,0.104559,0.003184,-0.333333,0.086754,0.003865,-0.239669,0.081311,0.003406,-0.147929,0.077041,0.003163,-0.102222,0.071529,0.002888,-0.086505,0.068078,0.002644,-0.080332,0.064746,0.002535,-0.081633,0.060613,0.002486,1
-0.84,0.069457,0.001075,-0.755102,0.065663,0.001282,-0.604938,0.062596,0.001226,-0.504132,0.061726,0.001235,-0.39645,0.059792,0.001089,-0.288889,0.056525,0.00103,-0.238754,0.053039,0.000968,-0.191136,0.049811,0.0009,-0.142857,0.047158,0.000863,1
-0.12,0.126195,0.003577,-0.265306,0.10862,0.002931,-0.333333,0.104534,0.00248,-0.38843,0.097938,0.002065,-0.467456,0.090989,0.002161,-0.52,0.085583,0.002128,-0.543253,0.082029,0.002375,-0.518006,0.080109,0.002743,-0.485261,0.080554,0.002723,1
-0.08,0.059741,0.000419,-0.040816,0.052977,0.000878,-0.024691,0.047151,0.001192,-0.016529,0.03895,0.001077,-0.029586,0.039931,0.001521,-0.048889,0.048339,0.002117,-0.100346,0.059285,0.003567,-0.152355,0.063606,0.003851,-0.197279,0.062421,0.003253,-1
-0.68,0.042209,0.000999,-0.530612,0.055712,0.003657,-0.382716,0.057042,0.003421,-0.429752,0.063602,0.003477,-0.491124,0.065581,0.003327,-0.533333,0.062008,0.002641,-0.588235,0.059603,0.00246,-0.612188,0.057943,0.0023,-0.62585,0.055874,0.002043,-1
-1,0.118375,0.002575,-0.795918,0.107727,0.002457,-0.654321,0.101515,0.002704,-0.603306,0.096979,0.002983,-0.526627,0.09724,0.00304,-0.484444,0.097066,0.00328,-0.411765,0.095316,0.003677,-0.396122,0.093965,0.003626,-0.387755,0.091409,0.003689,1
-0.28,0.107032,0.003603,-0.22449,0.086337,0.002871,-0.234568,0.077115,0.002728,-0.22314,0.074865,0.002469,-0.230769,0.072081,0.002378,-0.235556,0.066284,0.002488,-0.204152,0.064397,0.002665,-0.185596,0.06148,0.002724,-0.201814,0.059743,0.002817,1
-1,0.054111,0.000603,-1,0.054024,0.000505,-1,0.061272,0.00105,-0.942149,0.069988,0.001165,-0.804734,0.074101,0.001279,-0.608889,0.072346,0.001503,-0.50519,0.071741,0.001582,-0.481994,0.07064,0.001608,-0.451247,0.068863,0.001552,-1
0,0.033111,0.000284,0,0.039371,0.000746,-0.08642,0.058793,0.0032,-0.214876,0.069185,0.004175,-0.295858,0.071364,0.004272,-0.324444,0.072391,0.003756,-0.349481,0.067486,0.003356,-0.379501,0.063022,0.003157,-0.412698,0.060555,0.002875,-1
0.04,0.10644,0.004654,0.102041,0.084996,0.00484,0.135802,0.083789,0.005264,0.190083,0.078016,0.004693,0.207101,0.069922,0.004008,0.195556,0.066814,0.003683,0.200692,0.063505,0.003444,0.227147,0.05835,0.003298,0.263039,0.056218,0.003314,1
